"Project","Port","File"
"SaaS-IA","3000","docker-compose.yml"
"SaaS-IA","3001","README.md"
"SaaS-IA","5050","QUICKSTART.md"
"SaaS-IA","5173","config.py"
"SaaS-IA","5432","config.py"
"SaaS-IA","5555","QUICKSTART.md"
"SaaS-IA","6379","config.py"
"SaaS-IA","8000","README.md"
"SaaS-IA","9090",".env.example"
"SaaS-IA","9093","docker-compose.yml"
"WeLAB","1080","MERGED_MARKDOWN_FULL_GIT_WELAB.md"
"WeLAB","1081","MERGED_MARKDOWN_FULL_GIT_WELAB.md"
"WeLAB","1234","MERGED_MARKDOWN_FULL_GIT_WELAB.md"
"WeLAB","2379","MERGED_MARKDOWN_FULL_GIT_WELAB.md"
"WeLAB","3000","MERGED_MARKDOWN_FULL_GIT_WELAB.md"
"WeLAB","3306","MERGED_MARKDOWN_FULL_GIT_WELAB.md"
"WeLAB","4173","lighthouserc.js"
"WeLAB","4444","MERGED_MARKDOWN_FULL_GIT_WELAB.md"
"WeLAB","5000","README.md"
"WeLAB","5173","MERGED_MARKDOWN_FULL_GIT_WELAB.md"
"WeLAB","5174","README-SCRIPTS.md"
"WeLAB","5175","SIDEBAR-ENHANCED-V2-DEMO-GUIDE.md"
"WeLAB","5176","MERGED_MARKDOWN_FULL_GIT_WELAB.md"
"WeLAB","5432","MERGED_MARKDOWN_FULL_GIT_WELAB.md"
"WeLAB","5433","verify_user.py"
"WeLAB","6006","STORYBOOK-SUMMARY.md"
"WeLAB","6379","MERGED_MARKDOWN_FULL_GIT_WELAB.md"
"WeLAB","6380","WELAB_PORTS_CORRECTION_COMPLETE.md"
"WeLAB","8000","HIERARCHY-PERMISSIONS-IMPLEMENTATION.md"
"WeLAB","8001","CORRECTION-HIERARCHY-MANAGEMENT.md"
"WeLAB","8080","MERGED_MARKDOWN_FULL_GIT_WELAB.md"
"WeLAB","8081","MERGED_MARKDOWN_FULL_GIT_WELAB.md"
"WeLAB","8089","MERGED_MARKDOWN_FULL_GIT_WELAB.md"
"WeLAB","8097","REACT-DEVTOOLS.md"
"WeLAB","8888","MERGED_MARKDOWN_FULL_GIT_WELAB.md"
"WeLAB","9000","MERGED_MARKDOWN_FULL_GIT_WELAB.md"
"WeLAB","9090",".env.backup"
"WeLAB","9200","search_service.py"
"WeLAB","9323","MERGED_MARKDOWN_FULL_GIT_WELAB.md"
"WeLAB","27017","MERGED_MARKDOWN_FULL_GIT_WELAB.md"
"WeLAB","44711","MERGED_MARKDOWN_FULL_GIT_WELAB.md"
"WeLAB","49823","MERGED_MARKDOWN_FULL_GIT_WELAB.md"
"WeLAB","52738","MERGED_MARKDOWN_FULL_GIT_WELAB.md"
"WeLAB","57362","MERGED_MARKDOWN_FULL_GIT_WELAB.md"
"Provisioning","3306",".env"
"Provisioning","5000","docker-compose.yml"
"Provisioning","5001","mock.py"
"Provisioning","5432","MERGED_MARKDOWN_FULL_PROVISIONING_DOCS.md"
"Provisioning","5433","development.py"
"Provisioning","5434","00-LIRE-EN-PREMIER.md"
"Provisioning","6379","03-SOLUTION_HOT_SWAP_EDA.md"
"Provisioning","8000","README.md"
"Provisioning","8001","API-DEBUG-MONITOR-GUIDE.md"
"Markdown-Viewer","8002","docker-compose.yml"
"Markdown-Viewer","8003","INSTALLATION.md"
"Markdown-Viewer","8020","CHANGELOG_v0.0.1.md"
"Markdown-Viewer","8025","config.yaml"
"Sifate-Voyage","1025","06-CONFIGURATION.md"
"Sifate-Voyage","1026","06-CONFIGURATION.md"
"Sifate-Voyage","2525",".env.example"
"Sifate-Voyage","3306","06-CONFIGURATION.md"
"Sifate-Voyage","3307","MERGED_MARKDOWN_FULL_SIFATE-VOYAGE_DOCS.md"
"Sifate-Voyage","3308","DOCKER_MIGRATION_GUIDE.md"
"Sifate-Voyage","5175","TESTS_DIAGNOSTICS.md"
"Sifate-Voyage","5176","MERGED_MARKDOWN_FULL_SIFATE-VOYAGE_DOCS.md"
"Sifate-Voyage","6379","06-CONFIGURATION.md"
"Sifate-Voyage","6381","DEPLACEMENT_PROJET.md"
"Sifate-Voyage","8000","composer.json"
"Sifate-Voyage","8002","TESTS_COMPLETS_REUSSIS.md"
"Sifate-Voyage","8003","MERGED_MARKDOWN_FULL_SIFATE-VOYAGE_DOCS.md"
"Sifate-Voyage","8010","MISSION_ACCOMPLIE.md"
"Sifate-Voyage","8026","MERGED_MARKDOWN_FULL_SIFATE-VOYAGE_DOCS.md"
"Design","3000",".env.example"
"Design","4317","FastAPI_Ultimate_Guide.md"
"Design","8000","FastAPI_Ultimate_Guide.md"
